S0,K,T,r,sigma,price
135,90,0.1,0.05,0.2,45.543453
135,95,0.1,0.05,0.2,40.435772
135,100,0.1,0.05,0.2,35.32699
135,105,0.1,0.05,0.2,30.22534
135,110,0.1,0.05,0.2,25.227158
135,115,0.1,0.05,0.2,20.201113
135,120,0.1,0.05,0.2,15.287496
135,125,0.1,0.05,0.2,11.03394
135,130,0.1,0.05,0.2,7.3126698
135,135,0.1,0.05,0.2,4.4662905
135,140,0.1,0.05,0.2,2.3327837
135,145,0.1,0.05,0.2,0.8981313
135,150,0.1,0.05,0.2,0.16707891
140,50,0.1,0.05,0.2,89.88065
140,55,0.1,0.05,0.2,85.05655
140,60,0.1,0.05,0.2,80.21692
140,65,0.1,0.05,0.2,75.29858
140,70,0.1,0.05,0.2,70.27668
140,75,0.1,0.05,0.2,65.24657
140,80,0.1,0.05,0.2,60.221783
140,85,0.1,0.05,0.2,55.327892
140,90,0.1,0.05,0.2,50.337444
140,95,0.1,0.05,0.2,45.36516
140,100,0.1,0.05,0.2,40.273037
140,105,0.1,0.05,0.2,35.185375
140,110,0.1,0.05,0.2,30.136206
140,115,0.1,0.05,0.2,25.132452
140,120,0.1,0.05,0.2,20.096544
140,125,0.1,0.05,0.2,15.100845
140,130,0.1,0.05,0.2,11.040028
140,135,0.1,0.05,0.2,7.3446426
140,140,0.1,0.05,0.2,4.51068
140,145,0.1,0.05,0.2,2.4023046
140,150,0.1,0.05,0.2,0.9418325
145,50,0.1,0.05,0.2,94.825294
145,55,0.1,0.05,0.2,89.98563
145,60,0.1,0.05,0.2,85.139885
145,65,0.1,0.05,0.2,80.28104
145,70,0.1,0.05,0.2,75.34223
145,75,0.1,0.05,0.2,70.28539
145,80,0.1,0.05,0.2,65.19368
145,85,0.1,0.05,0.2,60.151154
145,90,0.1,0.05,0.2,55.144184
145,95,0.1,0.05,0.2,50.121784
145,100,0.1,0.05,0.2,45.080894
145,105,0.1,0.05,0.2,40.002235
145,110,0.1,0.05,0.2,34.951534
145,115,0.1,0.05,0.2,30.006086
145,120,0.1,0.05,0.2,25.021755
145,125,0.1,0.05,0.2,20.020329
145,130,0.1,0.05,0.2,15.221339
145,135,0.1,0.05,0.2,11.092978
145,140,0.1,0.05,0.2,7.408292
145,145,0.1,0.05,0.2,4.613269
145,150,0.1,0.05,0.2,2.428277
150,50,0.1,0.05,0.2,99.67543
150,55,0.1,0.05,0.2,94.8808
150,60,0.1,0.05,0.2,90.01963
150,65,0.1,0.05,0.2,85.15499
150,70,0.1,0.05,0.2,80.28354
150,75,0.1,0.05,0.2,75.37155
150,80,0.1,0.05,0.2,70.29424
150,85,0.1,0.05,0.2,65.21059
150,90,0.1,0.05,0.2,60.13736
150,95,0.1,0.05,0.2,55.09004
150,100,0.1,0.05,0.2,49.931274
150,105,0.1,0.05,0.2,44.766373
150,110,0.1,0.05,0.2,39.719345
150,115,0.1,0.05,0.2,34.73048
150,120,0.1,0.05,0.2,29.796852
150,125,0.1,0.05,0.2,24.83891
150,130,0.1,0.05,0.2,19.897675
150,135,0.1,0.05,0.2,15.331883
150,140,0.1,0.05,0.2,11.013604
150,145,0.1,0.05,0.2,7.3147287
150,150,0.1,0.05,0.2,4.603883
